Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000137338,PGBD1,0.10456565103487346,-0.29572350151445237,0.7333509854603819,0.08717031303520614,-0.15555919289158338,1,0.17353240583644386,0.8504856411027255,0.36128016368963295
ENSG00000235109,ZSCAN31,0.3059921156599455,1.243435309593579,0.0016994923489207579,0.09962321489737845,-1.427638738328384,0.01221572325926179,0.15617916525279948,-0.7654242821396788,0.2771279303054698
ENSG00000189298,ZKSCAN3,0.1551974399570227,-0.5152101916754894,0.2606644723457261,0.12452901862172305,-0.3080571225757116,0.8181833284545175,0.3470648116728877,1.2219444589838213,0.021657072150370816
ENSG00000158691,ZSCAN12,0.027517276588124594,-1.5952837833733597,0.02481954857450538,0.024905803724344613,0.02804074544780555,1,0.15617916525279948,2.5921277224784047,0.0015153160619402108
ENSG00000187987,ZSCAN23,0.007704837444674886,-2.5181159228509005,0.018223027891681537,0,-0.2349936603859879,0.9254935740188582,0.10411944350186632,3.8849094717062505,0.0004810018279593998
ENSG00000198704,GPX6,0.0011006910635249839,-1.710761000793295,1,0,2.572361261671616,1,0,3.0775545496486467,1
ENSG00000224586,GPX5,0.0055034553176249185,-0.12579850007213889,1,0,0.9873987609504598,1,0,1.4925920489274906,1
ENSG00000232040,ZBED9,0.06934353700207398,1.2892389992067046,0.1347064959099845,0.012452901862172306,-1.4720328576868371,0.2212137835753241,0.03470648116728877,-0.3598507626586511,0.8659744832187924
ENSG00000204713,TRIM27,1.2206663894492071,0.5107651971362287,0.030697869725592557,0.6350979949707876,-0.928097625225736,0.0038162136539007315,1.162667119104174,-0.016134865966580536,1
ENSG00000197935,ZNF311,0.008805528508199871,-0.5408359993509828,1,0.012452901862172306,1.4024362602293037,0.8289654080246018,0,0.755626454761285,1
ENSG00000204701,OR2J3,0.003302073190574951,-0.7107610007932958,1,0,1.5723612616716158,1,0,2.0775545496486467,1
ENSG00000204695,OR14J1,0.0022013821270499678,-1.1257985000721389,1,0,1.9873987609504598,1,0,2.4925920489274906,1
ENSG00000243729,OR5V1,0.0011006910635249839,-1.710761000793295,1,0,2.572361261671616,1,0,3.0775545496486467,1
ENSG00000112462,OR12D3,0.0022013821270499678,-1.1257985000721389,1,0,1.9873987609504598,1,0,2.4925920489274906,1
ENSG00000280236,OR12D2,0.003302073190574951,-1.7107610007932958,0.6606020582125264,0,1.250433166784254,1,0.017353240583644385,3.0775545496486467,0.4312936274573902
ENSG00000206474,OR10C1,0.0011006910635249839,-1.710761000793295,1,0,2.572361261671616,1,0,3.0775545496486467,1
ENSG00000204688,OR2H1,0,-3.710761000793295,0.2873962008207024,0.012452901862172306,4.572361261671616,0.2362698070455619,0,3.0775545496486467,1
ENSG00000213886,UBD,5.326244056397397,1.1206393952309592,0.000000000026920626369171133,1.7309533588419506,-1.5975637397706965,0.000000000007420041874687653,3.4706481167288774,-0.5530340592384739,0.07886732456428432
ENSG00000204681,GABBR1,0.024215203397549644,-3.7417878964139204,0.000000000000000035497424291091034,0.08717031303520614,0.6181649512847405,0.7199799163927408,0.6767763827621311,4.492592048927491,0.00000000000000000017783855496725206
ENSG00000204657,OR2H2,0.0011006910635249839,-1.710761000793295,1,0,2.572361261671616,1,0,3.0775545496486467,1
ENSG00000204644,ZFP57,0.016510365952874757,-0.7107610007932958,0.9172084353186606,0.024905803724344613,1.0698609211424328,0.9371368987049699,0.017353240583644385,0.9076295482063346,1
ENSG00000204642,HLA-F,0.5470434585719169,-0.9005061882298974,0.000015487180634837006,0.8218915229033722,0.47605912337248346,0.1761141755741396,1.301493043773329,1.1859307106934383,0.00004653553708627564
ENSG00000204632,HLA-G,0.02311451233402466,-0.25132938215599854,1,0.024905803724344613,0.6337618063357597,0.9936002588232766,0.017353240583644385,0.49259204892749064,1
ENSG00000206503,HLA-A,6.175977557438684,-0.050877573523503195,0.8320395383743906,3.5490770307191073,-0.8690739276718356,0.00018126357264099867,10.44665083135392,0.7878032627268157,0.00008905167015274925
ENSG00000066379,ZNRD1,0.24215203397549642,0.17025096298961673,0.8237879494130796,0.17434062607041229,-0.4033911920817066,0.6372531084563694,0.2602986087546658,0.20103760308364693,0.9545324301701679
ENSG00000204619,PPP1R11,0.9201777291068864,0.5388911931197504,0.03649116696598615,0.4856631726247199,-0.8952442884113816,0.011995393935316795,0.8329555480149305,-0.08252266583731868,1
ENSG00000204618,RNF39,0.006604146381149902,0.09659392126430877,1,0,0.7650063396140121,1,0,1.270199627591043,1
