Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000105538,RASIP1,0.014072541834443465,-0.5657102898886102,1,0,0.5657102898886102,1
ENSG00000182264,IZUMO1,0.0018763389112591287,-2.980747789167455,1,0,2.980747789167455,1
ENSG00000174951,FUT1,0.055351997882144295,0.34118030571990765,1,0.02270065141693556,-0.34118030571990765,1
ENSG00000105550,FGF21,0.2758218199550919,0.6388608543605934,0.7842282351683307,0.15890455991854893,-0.6388608543605934,0.7842282351683315
ENSG00000105552,BCAT2,0.18575755221465376,-0.09901067078727355,1,0.1816052113354845,0.09901067078727355,1
ENSG00000087076,HSD17B14,0.21953165261731805,-0.4965482653812143,0.8533060669358813,0.2951084684201623,0.4965482653812143,0.8533060669358813
ENSG00000105559,PLEKHA4,0.29364703961205363,-0.7946514970539964,0.3893722709491306,0.4994143311725823,0.7946514970539964,0.38937227094912924
ENSG00000087074,PPP1R15A,0.4503213387021909,-0.7851002230635346,0.24096593007365705,0.7718221481758091,0.7851002230635346,0.24096593007365705
ENSG00000104804,TULP2,0.0009381694556295643,-3.565710289888611,1,0,3.565710289888611,1
ENSG00000104805,NUCB1,2.2431631684102884,-0.014133957662000984,1,2.2927657931104917,0.014133957662000984,1
ENSG00000104808,DHDH,0.007505355645036515,-2.395785288446298,0.8448435748894229,0.02270065141693556,2.395785288446298,0.8448435748894229
ENSG00000087088,BAX,0.7392775310360967,-0.7231885133998113,0.1754911765089957,1.2258351765145203,0.7231885133998113,0.17549117650899693
ENSG00000087086,FTL,54.58363709798368,-0.38578260257116526,0.3772643430909703,72.8463903969462,0.38578260257116526,0.3772643430909703
ENSG00000104812,GYS1,0.1501071129007303,0.180244087504851,1,0.1135032570846778,-0.180244087504851,1
ENSG00000183207,RUVBL2,0.6923690582546185,0.3198640744828162,1,0.5448156340064534,-0.3198640744828162,1
ENSG00000268655,AC008687.4,0.0037526778225182573,-2.2437821950012484,1,0,2.2437821950012484,1
ENSG00000196337,CGB7,0.0009381694556295643,-3.565710289888611,1,0,3.565710289888611,1
ENSG00000104852,SNRNP70,4.270547362025777,0.247041451245964,0.9846849446247519,3.654804878126625,-0.247041451245964,0.9846849446247513
ENSG00000104863,LIN7B,0.07786806481725385,0.241644632168994,1,0.04540130283387112,-0.241644632168994,1
ENSG00000221916,C19orf73,0.030959592035775623,-1.0632099493594267,0.9583824858257225,0.04540130283387112,1.0632099493594267,0.9583824858257225
ENSG00000177380,PPFIA3,0.00844352510066608,-2.2437821950012484,0.8904717585010846,0.02270065141693556,2.2437821950012484,0.8904717585010852
ENSG00000130528,HRC,0.0131343723788139,-0.6588196942800923,1,0,0.6588196942800923,1
ENSG00000130529,TRPM4,0.23548053336302066,-1.047861985025991,0.1800727110631917,0.47671367975564677,1.047861985025991,0.1800727110631917
ENSG00000063127,SLC6A16,0.06285735352718082,0.5217525513617289,1,0.02270065141693556,-0.5217525513617289,1
ENSG00000104894,CD37,0.2373568722742798,-1.1005875591734573,0.14476634454963044,0.4994143311725823,1.1005875591734573,0.14476634454963044
ENSG00000074219,TEAD2,0.12571470705436164,-0.4888946928377793,1,0.15890455991854893,0.4888946928377793,1
ENSG00000142538,PTH2,0.0018763389112591287,-2.980747789167455,1,0,2.980747789167455,1
ENSG00000261949,GFY,0.0028145083668886933,-2.565710289888611,1,0,2.565710289888611,1
ENSG00000104888,SLC17A7,0.004690847278147822,-1.980747789167454,1,0,1.980747789167454,1
ENSG00000104872,PIH1D1,0.3020905647127197,-0.4782474486382706,0.8661816387693867,0.4086117255048401,0.4782474486382706,0.8661816387693863
ENSG00000161618,ALDH16A1,0.14166358780006422,-0.12513769850262912,1,0.13620390850161335,0.12513769850262912,1
ENSG00000090554,FLT3LG,0.1632414852795442,-0.43642727294364336,0.9958333254405605,0.20430586275242005,0.43642727294364336,0.9958333254405605
ENSG00000104870,FCGRT,6.0568220055444675,-0.36027308997358976,0.45665196203051694,7.92252734451051,0.36027308997358976,0.45665196203051694
ENSG00000142552,RCN3,0.6388933992837333,-1.691241171972469,0.000000038915721517300845,2.0884599303580713,1.691241171972469,0.000000038915721517300845
ENSG00000142546,NOSIP,0.28801802287827627,-0.20581434480222738,1,0.31780911983709786,0.20581434480222738,1
ENSG00000126460,PRRG2,0.029083253124516494,0.43428971011138984,1,0,-0.43428971011138984,1
ENSG00000126464,PRR12,0.19044839949280157,0.2993601300252813,1,0.13620390850161335,-0.2993601300252813,1
ENSG00000126458,RRAS,0.38652581571938055,-0.2680297412479251,0.9874014844293526,0.4540130283387112,0.2680297412479251,0.9874014844293526
ENSG00000126461,SCAF1,0.3049050730796084,0.46108976945510527,0.9388042901933649,0.20430586275242005,-0.46108976945510527,0.9388042901933665
